,GarageQual,FireplaceQa,SalePrice,GarageQualNew
463,TA,Gd,188700,TA
464,TA,,124000,TA
465,TA,TA,178740,TA
466,TA,Po,167000,TA
467,TA,Gd,146500,TA
468,TA,Gd,250000,TA
469,TA,,187000,TA
470,TA,,212000,TA
471,TA,Gd,190000,TA
472,TA,,148000,TA
473,TA,Ex,440000,TA
474,TA,,251000,TA
475,TA,,132500,TA
476,TA,TA,208900,TA
477,TA,Gd,380000,TA
478,TA,Gd,297000,TA
479,TA,,89471,TA
480,TA,Gd,326000,TA
481,TA,Gd,374000,TA
482,Fa,Gd,155000,Fa
483,TA,,164000,TA
484,TA,,132500,TA
485,TA,Gd,147000,TA
486,TA,,156000,TA
487,TA,TA,175000,TA
488,TA,Gd,160000,TA
489,TA,,86000,TA
490,TA,Gd,115000,TA
491,TA,TA,133000,TA
492,TA,,172785,TA
493,TA,Fa,155000,TA
494,TA,,91300,TA
495,TA,,34900,TA
496,TA,Gd,430000,TA
497,TA,,184000,TA
498,TA,,130000,TA
499,TA,,120000,TA
500,TA,,113000,TA
501,TA,,226700,TA
502,Fa,,140000,Fa
503,TA,TA,289000,TA
504,TA,Fa,147000,TA
505,TA,,124500,TA
506,TA,TA,215000,TA
507,TA,,208300,TA
508,TA,Gd,161000,TA
509,TA,,124500,TA
510,TA,TA,164900,TA
511,TA,Gd,202665,TA
512,TA,,129900,TA
513,TA,,134000,TA
514,Po,,96500,Po
515,TA,Gd,402861,TA
516,TA,TA,158000,TA
517,TA,TA,265000,TA
518,TA,,211000,TA
519,TA,Gd,234000,TA
520,TA,,106250,TA
521,TA,Gd,150000,TA
522,TA,Gd,159000,TA
523,TA,Gd,184750,TA
524,TA,TA,315750,TA
525,TA,TA,176000,TA
526,TA,,132000,TA
527,TA,Gd,446261,TA
528,TA,,86000,TA
529,TA,TA,200624,TA
530,TA,Fa,175000,TA
531,TA,,128000,TA
532,TA,Po,107500,TA
533,TA,,39300,TA
534,TA,Gd,178000,TA
535,TA,,107500,TA
536,TA,,188000,TA
537,TA,,111250,TA
538,TA,Fa,158000,TA
539,TA,TA,272000,TA
540,TA,Gd,315000,TA
541,TA,TA,248000,TA
542,TA,TA,213250,TA
543,TA,,133000,TA
544,TA,Gd,179665,TA
545,TA,,229000,TA
546,TA,Gd,210000,TA
547,TA,,129500,TA
548,TA,,125000,TA
549,TA,Gd,263000,TA
550,TA,,140000,TA
551,TA,,112500,TA
552,TA,Gd,255500,TA
553,TA,,108000,TA
554,TA,Gd,284000,TA
555,TA,Gd,113000,TA
556,TA,TA,141000,TA
557,TA,,108000,TA
558,TA,TA,175000,TA
559,TA,TA,234000,TA
560,TA,Gd,121500,TA
561,TA,TA,170000,TA
562,TA,Gd,108000,TA
563,TA,Gd,185000,TA
564,TA,TA,268000,TA
565,TA,,128000,TA
566,TA,Gd,325000,TA
567,TA,,214000,TA
568,Gd,Gd,316600,Gd
569,TA,TA,135960,TA
570,TA,,142600,TA
571,TA,,120000,TA
572,TA,,224500,TA
573,TA,TA,170000,TA
574,TA,,139000,TA
575,TA,,118500,TA
576,TA,Gd,145000,TA
577,TA,Fa,164500,TA
578,TA,,146000,TA
579,Fa,,131500,Fa
580,TA,Gd,181900,TA
581,TA,Gd,253293,TA
582,TA,,118500,TA
583,Gd,Gd,325000,Gd
584,TA,,133000,TA
585,TA,Gd,369900,TA
586,TA,,130000,TA
587,TA,,137000,TA
588,TA,Gd,143000,TA
589,TA,,79500,TA
590,TA,,185900,TA
591,TA,Gd,451950,TA
592,TA,,138000,TA
593,TA,,140000,TA
594,TA,,110000,TA
595,TA,TA,319000,TA
596,TA,,114504,TA
597,TA,Gd,194201,TA
598,TA,TA,217500,TA
599,TA,TA,151000,TA
600,TA,Gd,275000,TA
601,TA,Gd,141000,TA
602,TA,TA,220000,TA
603,TA,,151000,TA
604,TA,TA,221000,TA
605,TA,Fa,205000,TA
606,TA,,152000,TA
607,TA,,225000,TA
608,TA,Gd,359100,TA
609,TA,,118500,TA
610,TA,Ex,313000,TA
611,TA,TA,148000,TA
612,TA,TA,261500,TA
613,TA,,147000,TA
614,TA,,75500,TA
615,TA,,137500,TA
616,TA,Gd,183200,TA
617,TA,,105500,TA
618,TA,Gd,314813,TA
619,TA,Gd,305000,TA
620,TA,,67000,TA
621,TA,TA,240000,TA
622,TA,,135000,TA
623,TA,TA,168500,TA
624,TA,TA,165150,TA
625,TA,,160000,TA
626,TA,TA,139900,TA
627,TA,Gd,153000,TA
628,TA,TA,135000,TA
629,TA,,168500,TA
630,Fa,,124000,Fa
631,TA,Gd,209500,TA
632,TA,TA,82500,TA
633,TA,,139400,TA
634,TA,,144000,TA
635,TA,,200000,TA
636,TA,Po,60000,TA
637,TA,,93000,TA
638,TA,,85000,TA
639,TA,Gd,264561,TA
640,TA,Gd,274000,TA
641,TA,TA,226000,TA
642,TA,TA,345000,TA
643,TA,,152000,TA
644,TA,Gd,370878,TA
645,TA,,143250,TA
646,TA,,98300,TA
647,TA,Gd,155000,TA
648,TA,TA,155000,TA
649,TA,,84500,TA
650,TA,,205950,TA
651,Fa,Gd,108000,Fa
652,TA,TA,191000,TA
653,TA,,135000,TA
654,TA,TA,350000,TA
655,TA,,88000,TA
656,TA,,145500,TA
657,TA,Gd,149000,TA
658,TA,Gd,97500,TA
659,TA,,167000,TA
660,TA,TA,197900,TA
661,TA,TA,402000,TA
662,TA,TA,110000,TA
663,TA,,137500,TA
664,TA,Ex,423000,TA
665,TA,TA,230500,TA
666,TA,Po,129000,TA
667,TA,Fa,193500,TA
668,TA,TA,168000,TA
669,TA,Gd,137500,TA
670,TA,,173500,TA
671,TA,,103600,TA
672,TA,TA,165000,TA
673,TA,TA,257500,TA
674,TA,Gd,140000,TA
675,TA,TA,148500,TA
676,Fa,,87000,Fa
677,Fa,,109500,Fa
678,TA,Gd,372500,TA
679,TA,,128500,TA
680,TA,TA,143000,TA
681,TA,,159434,TA
682,TA,Gd,173000,TA
683,TA,TA,285000,TA
684,TA,,221000,TA
685,TA,TA,207500,TA
686,TA,,227875,TA
687,TA,,148800,TA
688,TA,Gd,392000,TA
689,TA,Gd,194700,TA
690,TA,TA,141000,TA
691,TA,Ex,755000,TA
692,TA,Gd,335000,TA
693,TA,,108480,TA
694,TA,,141500,TA
695,TA,TA,176000,TA
696,TA,,89000,TA
697,TA,,123500,TA
698,TA,Gd,138500,TA
699,TA,,196000,TA
700,TA,Gd,312500,TA
701,TA,,140000,TA
702,TA,Gd,361919,TA
703,TA,Po,140000,TA
704,TA,,213000,TA
705,TA,,55000,TA
706,TA,TA,302000,TA
707,TA,Gd,254000,TA
708,TA,Gd,179540,TA
709,TA,,109900,TA
710,TA,,52000,TA
711,TA,,102776,TA
712,TA,Gd,189000,TA
713,TA,,129000,TA
714,TA,,130500,TA
715,TA,TA,165000,TA
716,TA,,159500,TA
717,TA,Fa,157000,TA
718,TA,TA,341000,TA
719,TA,Po,128500,TA
720,TA,TA,275000,TA
721,TA,,143000,TA
722,TA,,124500,TA
723,TA,,135000,TA
724,TA,Gd,320000,TA
725,TA,,120500,TA
726,TA,Gd,222000,TA
727,TA,,194500,TA
728,TA,,110000,TA
729,TA,,103000,TA
730,TA,TA,236500,TA
731,TA,Gd,187500,TA
732,TA,TA,222500,TA
733,TA,TA,131400,TA
734,TA,,108000,TA
735,TA,TA,163000,TA
736,TA,,93500,TA
737,TA,Gd,239900,TA
738,TA,,179000,TA
739,TA,,190000,TA
740,TA,,132000,TA
741,TA,,142000,TA
742,TA,,179000,TA
743,TA,TA,175000,TA
744,TA,TA,180000,TA
745,TA,TA,299800,TA
746,TA,TA,236000,TA
747,TA,Gd,265979,TA
748,TA,TA,260400,TA
749,TA,,98000,TA
750,TA,,96500,TA
751,TA,,162000,TA
752,TA,,217000,TA
753,TA,Gd,275500,TA
754,TA,,156000,TA
755,TA,,172500,TA
756,TA,,212000,TA
757,TA,TA,158900,TA
758,TA,,179400,TA
759,TA,TA,290000,TA
760,Ex,,127500,Ex
761,TA,,100000,TA
762,TA,,215200,TA
763,TA,Gd,337000,TA
764,TA,Gd,270000,TA
765,TA,Gd,264132,TA
766,TA,TA,196500,TA
767,TA,,160000,TA
768,TA,Gd,216837,TA
769,TA,Gd,538000,TA
770,TA,,134900,TA
771,TA,,102000,TA
772,TA,TA,107000,TA
773,TA,,114500,TA
774,TA,Gd,395000,TA
775,TA,,162000,TA
776,TA,,221500,TA
777,TA,Fa,142500,TA
778,TA,TA,144000,TA
779,TA,,135000,TA
780,TA,TA,176000,TA
781,TA,,175900,TA
782,TA,,187100,TA
783,TA,TA,165500,TA
784,TA,Gd,128000,TA
785,TA,Gd,161500,TA
786,TA,,139000,TA
787,TA,,233000,TA
788,Fa,,107900,Fa
789,TA,,187500,TA
790,TA,Gd,160200,TA
791,TA,TA,146800,TA
792,TA,TA,269790,TA
793,TA,,225000,TA
794,TA,TA,194500,TA
795,TA,TA,171000,TA
796,TA,TA,143500,TA
797,TA,,110000,TA
798,TA,Gd,485000,TA
799,TA,TA,175000,TA
800,TA,,200000,TA
801,TA,,109900,TA
802,TA,Gd,189000,TA
803,TA,Gd,582933,TA
804,TA,,118000,TA
805,TA,,227680,TA
806,TA,,135500,TA
807,TA,TA,223500,TA
808,TA,Gd,159950,TA
809,Fa,,106000,Fa
810,TA,Fa,181000,TA
811,TA,Gd,144500,TA
812,TA,,55993,TA
813,TA,,157900,TA
814,TA,,116000,TA
815,TA,,224900,TA
816,TA,Gd,137000,TA
817,TA,Gd,271000,TA
818,TA,,155000,TA
819,TA,Gd,224000,TA
820,TA,,183000,TA
821,TA,,93000,TA
822,TA,Gd,225000,TA
823,TA,Gd,139500,TA
824,TA,Gd,232600,TA
825,TA,Gd,385000,TA
826,TA,,109500,TA
827,TA,TA,189000,TA
828,TA,,185000,TA
829,TA,,147400,TA
830,TA,Gd,166000,TA
831,TA,,151000,TA
832,TA,TA,237000,TA
833,TA,,167000,TA
834,TA,,139950,TA
835,TA,,128000,TA
836,TA,,153500,TA
837,TA,,100000,TA
838,TA,,144000,TA
839,TA,,130500,TA
840,TA,,140000,TA
841,Gd,Po,157500,Gd
842,Gd,,174900,Gd
843,TA,,141000,TA
844,TA,Gd,153900,TA
845,TA,TA,171000,TA
846,TA,TA,213000,TA
847,TA,Fa,133500,TA
848,Fa,Gd,240000,Fa
849,TA,TA,187000,TA
850,TA,,131500,TA
851,TA,TA,215000,TA
852,TA,Gd,164000,TA
853,TA,Fa,158000,TA
854,TA,Gd,170000,TA
855,TA,,127000,TA
856,TA,,147000,TA
857,TA,TA,174000,TA
858,TA,TA,152000,TA
859,TA,Gd,250000,TA
860,TA,Gd,189950,TA
861,TA,,131500,TA
862,TA,,152000,TA
863,TA,,132500,TA
864,TA,,250580,TA
865,TA,,148500,TA
866,TA,Gd,248900,TA
867,TA,,129000,TA
868,TA,TA,169000,TA
869,TA,TA,236000,TA
870,TA,,109500,TA
871,TA,,200500,TA
872,TA,,116000,TA
873,TA,Gd,133000,TA
874,TA,,66500,TA
875,TA,Gd,303477,TA
876,TA,,132250,TA
877,TA,Gd,350000,TA
878,TA,,148000,TA
879,TA,,136500,TA
880,TA,,157000,TA
881,TA,TA,187500,TA
882,TA,TA,178000,TA
883,TA,,118500,TA
884,TA,,100000,TA
885,TA,TA,328900,TA
886,TA,,145000,TA
887,TA,,135500,TA
888,TA,TA,268000,TA
889,TA,TA,149500,TA
890,TA,Po,122900,TA
891,TA,TA,172500,TA
892,TA,,154500,TA
893,TA,Gd,165000,TA
894,TA,,118858,TA
895,TA,TA,140000,TA
896,TA,,106500,TA
897,TA,,142953,TA
898,TA,Gd,611657,TA
899,TA,TA,135000,TA
900,TA,,110000,TA
901,TA,,153000,TA
902,TA,Gd,180000,TA
903,TA,Gd,240000,TA
904,TA,,125500,TA
905,TA,,128000,TA
906,TA,Gd,255000,TA
907,Fa,Gd,250000,Fa
908,TA,,131000,TA
909,TA,Gd,174000,TA
910,TA,,154300,TA
911,TA,,143500,TA
912,TA,,88000,TA
913,TA,,145000,TA
914,TA,,173733,TA
915,TA,,75000,TA
916,TA,,35311,TA
917,TA,,135000,TA
918,TA,TA,238000,TA
919,TA,TA,176500,TA
920,TA,,201000,TA
921,TA,,145900,TA
922,TA,Gd,169990,TA
923,TA,Fa,193000,TA
924,TA,TA,207500,TA
925,TA,,175000,TA
926,TA,Gd,285000,TA
927,TA,Gd,176000,TA
928,TA,TA,236500,TA
929,TA,TA,222000,TA
930,TA,,201000,TA
931,TA,,117500,TA
932,TA,Gd,320000,TA
933,TA,,190000,TA
934,TA,Gd,242000,TA
935,TA,,79900,TA
936,TA,,184900,TA
937,TA,Gd,253000,TA
938,TA,,239799,TA
939,TA,TA,244400,TA
940,TA,,150900,TA
941,TA,TA,214000,TA
942,TA,,150000,TA
943,TA,,143000,TA
944,TA,Gd,137500,TA
945,TA,,124900,TA
946,TA,TA,143000,TA
947,TA,Gd,270000,TA
948,TA,TA,192500,TA
949,TA,TA,197500,TA
950,TA,,129000,TA
951,TA,,119900,TA
952,TA,,133900,TA
953,TA,Po,172000,TA
954,TA,,127500,TA
955,TA,,145000,TA
956,TA,TA,124000,TA
957,TA,,132000,TA
958,TA,,185000,TA
959,TA,,155000,TA
960,TA,,116500,TA
961,TA,TA,272000,TA
962,TA,TA,155000,TA
963,TA,,239000,TA
964,TA,Gd,214900,TA
965,TA,Gd,178900,TA
966,TA,TA,160000,TA
967,TA,,135000,TA
968,TA,,37900,TA
969,TA,,140000,TA
970,TA,,135000,TA
971,TA,,173000,TA
972,TA,TA,99500,TA
973,TA,,182000,TA
974,TA,,167500,TA
975,TA,,165000,TA
976,TA,,85500,TA
977,TA,,199900,TA
978,TA,,110000,TA
979,TA,,139000,TA
980,TA,,178400,TA
981,TA,TA,336000,TA
982,TA,Gd,159895,TA
983,TA,Gd,255900,TA
984,TA,,126000,TA
985,TA,,125000,TA
986,Fa,,117000,Fa
987,TA,Gd,395192,TA
988,TA,TA,195000,TA
989,TA,,197000,TA
990,TA,TA,348000,TA
991,TA,Gd,168000,TA
992,TA,Fa,187000,TA
993,TA,,173900,TA
994,TA,Gd,337500,TA
995,TA,,121600,TA
996,TA,,136500,TA
997,TA,TA,185000,TA
998,TA,Gd,91000,TA
999,TA,,206000,TA
1000,TA,,82000,TA
1001,Fa,,86000,Fa
1002,TA,Gd,232000,TA
1003,TA,,136905,TA
1004,TA,Gd,181000,TA
1005,TA,,149900,TA
1006,TA,TA,163500,TA
1007,TA,,88000,TA
1008,TA,Gd,240000,TA
1009,TA,,102000,TA
1010,TA,Gd,135000,TA
1011,TA,,100000,TA
1012,TA,TA,165000,TA
1013,TA,,85000,TA
1014,TA,Gd,119200,TA
1015,TA,,227000,TA
1016,TA,TA,203000,TA
1017,TA,Ex,187500,TA
1018,TA,TA,160000,TA
1019,TA,Gd,213490,TA
1020,TA,,176000,TA
1021,TA,,194000,TA
1022,Fa,,87000,Fa
1023,TA,Gd,191000,TA
1024,TA,Gd,287000,TA
1025,TA,,112500,TA
1026,TA,Gd,167500,TA
1027,TA,Gd,293077,TA
1028,TA,Gd,105000,TA
1029,TA,,118000,TA
1030,TA,,160000,TA
1031,TA,TA,197000,TA
1032,TA,TA,310000,TA
1033,TA,,230000,TA
1034,Fa,Gd,119750,Fa
1035,TA,,84000,TA
